product,date,run_utc,version,change,affects_radiation,affects_wind,affects_grid,date_precision,source_url,source_type,verified,note
DWD ICON global,2021-11-17,,2.6.4-nwp1,"ICON 2.6.4-nwp1: time-dependent physics-parameter perturbations in global EPS (improved spread for 2 m temperature, 10 m wind/gusts and cloud cover); SST analysis smoothing fix for ICON-EU/ICON-D2",FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2021/pdf_icon_17_11_2021.pdf?__blob=publicationFile,primary,corrected,"Effective 17 November 2021; DWD published the notice on 2021-11-11. Time-dependent physics perturbations in the global EPS (better spread of 10 m wind, gusts and cloud cover) and an SST-analysis smoothing fix for ICON-EU and ICON-D2."
DWD ICON global,2022-10-12,06:00,2.6.5-nwp0a,ICON 2.6.5-nwp0: parameterisation of latent heating from changes in sub-grid-scale cloud cover (global and ICON-D2),FALSE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2022/pdf_icon_12_10_2022.pdf?__blob=publicationFile,primary,corrected,"Effective 12 October 2022 (06 UTC global, 09 UTC ICON-D2). Content: latent heating tied to changes in sub-grid cloud cover."
DWD ICON global,2022-11-23,06:00,,"ICON-EPS mesh 40 to 26 km and ICON-EU-EPS 20 to 13 km; vertical levels 90 to 120 (global) and 60 to 74 (EU nest) in deterministic and ensemble; new MERIT/REMA orography and SSO fields; adaptive surface friction (roughness length, SSO blocking) driven by 10 m wind assimilation increments; hub-height wind bias reduced",FALSE,TRUE,TRUE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2022/pdf_icon_23_11_2022.pdf?__blob=publicationFile,primary,corrected,"Effective 23 November 2022, 06 UTC run; DWD published the notice on 2022-11-08. The deterministic runs changed as well as the EPS: vertical levels rose 90 to 120 (global) and 60 to 74 (EU), and adaptive surface friction from 10 m wind increments was introduced. DWD reports a reduced positive wind bias at turbine height (~100 m) against German wind-farm SCADA."
DWD ICON global,2023-03-15,06:00,,"10 m wind assimilation and adaptive surface friction extended to previously blacklisted regions (global); shallow-convection switch-off in stable boundary layers via estimated inversion strength (global and ICON-D2), improving stratus/stratocumulus and solar radiation bias",TRUE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2023/pdf_icon_15_03_2023.pdf?__blob=publicationFile,primary,corrected,"Effective 15 March 2023, 06 UTC (global) / 09 UTC (ICON-D2); DWD published the notice on 2023-03-07. The same notice changed shallow convection (estimated inversion strength), which improves stratocumulus persistence and solar radiation bias."
DWD ICON global,2023-08-30,,,Switch to RTTOV 13.2 for satellite radiance assimilation,FALSE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2023/pdf_icon_30_08_2023.pdf?__blob=publicationFile,primary,corrected,Effective 30 August 2023; DWD published the notice on 2023-08-23.
DWD ICON global,2024-04-17,06:00,,Revision of ensemble perturbations; updated greenhouse-gas concentrations,FALSE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2024/pdf_icon_17_04_2024.pdf?__blob=publicationFile,primary,corrected,"Effective 17 April 2024, 06 UTC; DWD published the notice on 2024-04-08. Also: SST perturbations reduced 25%, moisture-dependent heat capacities."
DWD ICON global,2024-05-22,06:00,,Retuned soil-moisture adjustment and adaptive surface friction; soil-moisture ensemble perturbations; satellite radiance assimilation changes,FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2024/pdf_icon_22_05_2024.pdf?__blob=publicationFile,primary,corrected,Date confirmed (06 UTC). The adaptive-surface-friction retuning applies to ICON-EPS.
DWD ICON global,2025-07-23,06:00,,Dissipative heating and warm-layer ocean parameterisations added across all ICON configurations; rime-deposition bugfix; retuned interception storage,FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2025/pdf_icon_23_07_2025.pdf?__blob=publicationFile,primary,corrected,"Effective 23 July 2025, 06 UTC, all ICON configurations including ICON-D2; DWD published the notice on 2025-07-15."
DWD ICON-D2,2021-02-10,09:00,,ICON-D2/ICON-D2-EPS replace COSMO-D2/COSMO-D2-EPS as the convection-permitting regional model,FALSE,FALSE,TRUE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon_d2/pdf_2021/pdf_icon_system_10_02_2021.pdf?__blob=publicationFile,primary,corrected,Date confirmed from the ICON-D2 notice (transition between 06 and 09 UTC).
DWD ICON-D2,2021-06-23,,,Extension of ICON-D2 forecast range to 48 hours,FALSE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon_d2/pdf_2021/pdf_icon_d2_23_06_2021.pdf?__blob=publicationFile,primary,corrected,The ICON-D2 changelog gives effective 23 June 2021.
DWD ICON-D2,2023-03-15,09:00,,Extension of 10-metre wind assimilation; tuning updates,FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2023/pdf_icon_15_03_2023.pdf?__blob=publicationFile,primary,corrected,"Effective 15 March 2023, 09 UTC run for ICON-D2 (same notice as the global change)."
DWD ICON-D2,2024-01-24,,,Extended 10-metre wind assimilation and adaptive surface friction,FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/nwv_aenderungen_icon_d2_gesamt.html,primary,yes,Date confirmed by the ICON-D2 changelog title (effective 24.01.2024).
DWD ICON-D2,2024-07-09,09:00,,Revised gust parameterisation; radar data assimilation changes,FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon_d2/pdf_2024/pdf_icon_d2_09_07_2024.pdf?__blob=publicationFile,primary,corrected,"Effective 9 July 2024, 09 UTC. Gusts now use 10-minute mean 10 m wind and a cap tied to resolved wind in the lowest 1500 m."
DWD ICON-D2,2025-02-05,09:00,,New urban module TERRA_URB activated; precipitation-intensity fixes; ICOS tower data assimilated,FALSE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon_d2/pdf_2025/pdf_icon_d2_05_02_2025_terra_urb.pdf?__blob=publicationFile,primary,corrected,"Effective 5 February 2025, 09 UTC (08 UTC for RUC)."
DWD ICON-DREAM,2025-01-01,,v1,"ICON-DREAM v1 (DOI 10.5676/dwd/icon-dream_v1) published during 2025: 13 km global / 6.5 km Europe, 3-hourly assimilation cycle, covering 2010 onward, updated monthly with 2-3 months delay; exact release day not published",FALSE,FALSE,FALSE,announced,https://www.dwd.de/DE/leistungen/jahresberichte_dwd/jahresberichte/2025_04.html,primary,corrected,"Release date still not found to the day or month. DWD's 2025 annual report says only ""in 2025"" the first 15 years were published; the DOI landing page gives publication year 2025. The REA change log has no ICON-DREAM entry. Dataset updated monthly with 2-3 months delay."
Met Office,2022-05-01,,PS45 / OS45,Parallel Suite 45 operational (month only); coupled atmosphere-ocean global configuration described at N1280L70 (~10 km); UKV still RAL2-M,FALSE,FALSE,FALSE,month,https://gmd.copernicus.org/articles/16/2515/2023/,primary,corrected,"Month only. Met Office authors (GMD 2023) state the systems ""became operational in May 2022 after PS45"". No source gives PS45 a ""GC4"" label."
Met Office,2026-01-21,,"PS47 / OS47 (GC5 global, RAL3 UKV)","OS47: global to GC5 (GAL9/GOSI9), JOPA observation processing, Mode-S temperatures; UKV and MOGREPS-UK to RAL3 with CASIM double-moment microphysics, bimodal cloud scheme, boundary-layer and land-surface updates; MOGREPS-G range 7 to 10 days",TRUE,TRUE,FALSE,day,https://datahub.metoffice.gov.uk/support/changes-and-updates,primary,corrected,"Date confirmed by the DataHub notice for global, UKV, MOGREPS-G and MOGREPS-UK; the notice lists delivery times per suite but not unambiguously the first OS47 cycle, so run_utc is blank. Includes boundary-layer/land-surface updates, JOPA observation processing, Mode-S aircraft data, and the MOGREPS-G range extension from 7 to 10 days (Met Office blog 2026-02-09)."
NOAA GFS,2021-03-22,12:00,v16.0,"GFS v16.0: vertical levels 64 to 127, model top ~55 to ~80 km; new scale-aware TKE-EDMF boundary-layer scheme; RRTMG update for water-cloud absorption and cloud overlap; LETKF, 4D-IAU; WAVEWATCH III coupled",TRUE,TRUE,TRUE,day,https://www.weather.gov/media/notification/pdf2/scn21-20gfs_v16.0_aac.pdf,primary,yes,"Confirmed: SCN 21-20 (updated), effective 22 March 2021 12 UTC. Also new TKE-based EDMF boundary-layer scheme and RRTMG cloud absorption/overlap update, hence the radiation and wind flags."
NOAA GFS,2022-07-05,12:00,v16.2.1,Resource/job adjustments; bufr sounding job update; wave restart-file calculation change,FALSE,FALSE,FALSE,day,https://www.lstsrv.ncep.noaa.gov/pipermail/ncep.list.fv3-announce/2022-July/000565.html,primary,unverified,The list-server URL returns 404. A search snippet of the same post says 5 July 2022 at 1330Z; not checked against the page itself. Technical release only.
NOAA GFS,2022-08-01,,v16.2.2,RTOFS v2.3 implementation raises the GFS third-digit version; exact August 2022 date not confirmed in this pass,FALSE,FALSE,FALSE,month,https://www.lstsrv.ncep.noaa.gov/pipermail/ncep.list.fv3-announce/2022-August/000574.html,primary,unverified,The list-server URL returns 404; a search snippet says RTOFS v2.3 at a 12z cycle raised GFS to v16.2.2 with no other GFS change. Day not found. Technical release only.
NOAA GFS,2022-11-29,12:00,v16.3.0,Noah land-surface model physics upgraded; Unified Post Processing and WAFS upgraded; GSI analysis upgraded; improved snow-depth prediction and observation usage,FALSE,FALSE,FALSE,day,https://www.weather.gov/media/notification/pdf2/scn22-104_gfs.v16.3.0_aaa.pdf,primary,corrected,"Confirmed SCN 22-104: effective 29 November 2022, 12 UTC run."
NOAA GFS/GEFS,2026-10-01,,GFSv17 / GEFSv13 (proposed),"Proposed GFS/GDAS v17 for October 2026: C1152 (~9 km) from C768 (~13 km), coupled Earth-system model, revised convection, PBL and background diffusivity; comment period to 15 May 2026. GEFS v13 not confirmed",FALSE,FALSE,TRUE,announced,https://www.weather.gov/media/notification/pdf_2026/pns26-29_Science_for_GFSv17.pdf,primary,corrected,"NWS Public Information Statement 26-29 (15 April 2026) proposes GFS/GDAS v16 to v17 in October 2026: C768 (13 km) to C1152 (9 km), fractional coastline grid, coupled atmosphere-land-ocean-ice-wave, revised convection and PBL. Still a proposal as of 2026-09-23. GEFS v13 is not in this notice and is unconfirmed."
NOAA GEFS,2020-09-23,12:00,v12,GEFS v12.0: FV3 dynamical core and GFSv15.1 physics (GFDL microphysics) replacing spectral GSM; C384 (~25 km); 21 to 31 members; SPPT and SKEB; coupled waves and aerosols; 16-day range (35 days at 00 UTC),TRUE,TRUE,TRUE,day,https://www.weather.gov/media/notification/pdf2/scn20-75gefs_v12_changes.pdf,primary,corrected,"Confirmed SCN 20-75: effective 23 September 2020, 12 UTC run, v11.3 to v12.0, FV3 core with GFSv15.1 physics (GFDL microphysics), 21 to 31 members. Range is 16 days, with 35 days on the 00 UTC cycle."
Meteo-France,2024-10-15,,,"Cycle 48t1: ARPEGE radiation scheme replaced by an ecRad-derived scheme, renewed ARPEGE assimilation; AROME assimilation 3D-Var to 3DEnVar, Mode-S aircraft data (observations 1.4 to 4.2 million/day); AROME-EPS 25 members (daily scenarios 76 to 108); Mercator Ocean SST in all systems; AROME Indian Ocean domain extended ~20% north; no horizontal resolution change reported (AROME-France 1.3 km)",TRUE,TRUE,FALSE,day,https://www.umr-cnrm.fr/old/IMG/pdf/r_r_2024-gb_web_2.pdf,primary,corrected,"Neither the press article nor the Meteo-France press page gives resolution figures, and no source supports 750 m AROME or T1799 ARPEGE; AROME-France is 1.3 km per Meteo-France's 2024 reports. The CNRM 2024 research report dates the new chain, cycle 48t1, to 15 October 2024: ARPEGE moved to an ecRad-derived radiation scheme and a renewed assimilation system; AROME moved from 3D-Var to 3DEnVar with massive Mode-S data; AROME-EPS to 25 members; Mercator Ocean SSTs; solar-eclipse radiation effect."
DMI/KNMI HARMONIE-AROME,2024-06-20,,Cy43h2.2 (UWC-West),"KNMI begins operational HARMONIE-AROME Cycle 43 runs under the UWC-West collaboration, after a one-year test period",FALSE,FALSE,FALSE,day,https://english.knmidata.nl/open-data/harmonie,primary,corrected,"Confirmed on KNMI's own HARMONIE page (primary): ""On June 20, 2024, KNMI began operational runs of HARMONIE from Cycle 43 at UWC-West after a one-year test period"". Netherlands domain ~2 km; Europe domain 0.05 degree."
DMI/KNMI HARMONIE-AROME,2026-08-03,,Cy46h1 (UWC-West),"KNMI Data Platform begins publishing HARMONIE-AROME Cycle 46 (UWC-West) output; still described as experimental/test phase, not yet the operational replacement for Cy43",FALSE,FALSE,FALSE,day,https://dataplatform.knmi.nl/dataset/harmonie-arome-cy46-p1-1-0,primary,corrected,"Confirmed from the KNMI Data Platform dataset metadata (primary): ""Publication timestamp 2026-08-03"", titled ""[TEST PHASE DATA]""."
MET Norway NORA3,2024-07-03,,v4,"Catalogue record for the NORA3 3-hourly atmosphere subset revised to ""version 4"" with extended time coverage; not a model change. NORA3 itself is extended continuously (4-5 month delay, ERA5 boundaries)",FALSE,FALSE,FALSE,day,https://data.met.no/dataset/9696eef6-ccda-4d04-b963-e9a3016f4ce2,primary,corrected,"Date confirmed, but this record is the derived 3-hourly subset product, and ""v4"" is a catalogue record version (new title and extended time coverage), not a model version. MET Norway states NORA3 covers 1964 to today and is extended continuously with a 4-5 month delay; no model-configuration change was found."
Copernicus CERRA,2022-08-01,,,"CERRA and CERRA-EDA published in the Climate Data Store, covering September 1984 to June 2021 at 5.5 km",FALSE,TRUE,FALSE,month,https://forum.ecmwf.int/t/when-will-cerra-become-available/866,primary,corrected,"Confirmed by ECMWF forum support reply: ""CERRA and CERRA-EDA were published in the CDS at the beginning of August 2022"". Primary."
Copernicus CERRA,2025-01-23,,,First CERRA extension beyond June 2021 published in the CDS: 1 July 2021 to 31 July 2022,FALSE,TRUE,FALSE,day,https://forum.ecmwf.int/t/additional-cerra-data-for-the-period-from-july-2021-to-july-2022-now-available-on-the-cds/10954,primary,corrected,The extension landed in chunks: July 2021 to July 2022 on 2025-01-23; July 2024 to April 2025 on 2025-10-07 (both ECMWF forum announcements). No date was found for the chunk covering August 2022 to June 2024.
Copernicus CAMS Radiation,2017-10-11,,McClear v3,"McClear clear-sky model upgraded to v3, correcting drawbacks and preparing for future aerosol-product changes",TRUE,FALSE,FALSE,month,https://confluence.ecmwf.int/spaces/CKB/pages/266592908/CAMS+solar+radiation+time-series+data+documentation,primary,corrected,"CAMS radiation changelog gives this as month 2017-10 (v3, new bias correction). Day not in the changelog. Outside the 2019 start of scope."
Copernicus CAMS Radiation,2023-07-01,,CRS v4.6 / McClear v3.6,CRS v4.6: McClear v3.6 uses CAMS IFS 48r1 inputs from 2023-06-27 (earlier data unchanged); new SOAOD550 column; gap-filling and cloud-type bug fixes,TRUE,FALSE,FALSE,month,https://confluence.ecmwf.int/spaces/CKB/pages/266592908/CAMS+solar+radiation+time-series+data+documentation,primary,corrected,"The CAMS changelog dates v4.6 to 2023-07: McClear v3.6 driven by CAMS IFS 48r1 from 2023-06-27; ""data prior to 2023-06-27 are unchanged"". v4.0 and v4.5 have their own rows. The changelog records no Meteosat satellite change (MSG to MTG)."
EUMETSAT CM SAF,2023-05-01,,SARAH-3,"SARAH-3 released: climate data record 1 Jan 1983 to 31 Dec 2020 at 0.05 degree, extended as an Interim Climate Data Record with ~5-day latency",TRUE,FALSE,FALSE,month,https://www.cmsaf.eu/EN/Highlights/Dokumente/News_38.html,primary,corrected,"Confirmed release in May 2023, 0.05 degree, 5-day ICDR latency. CDR end dates (1 Jan 1983 to 31 Dec 2020) confirmed by the SARAH-3 ESSD paper; the 30-minute resolution is not in the news item."
